,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance
0,,2019-04-18 23:04:51, 5.755 sec,0.0,,,
1,,2019-04-18 23:04:51, 5.948 sec,1.0,25.26457768550233,12.690146837931396,638.2988856267823
2,,2019-04-18 23:04:51, 6.061 sec,2.0,27.71077837211913,12.454677909292139,767.8872379887052
3,,2019-04-18 23:04:51, 6.180 sec,3.0,24.259259151264846,11.494548575991555,588.5116545682272
4,,2019-04-18 23:04:51, 6.299 sec,4.0,23.863292558522723,11.314376633008168,569.4567317336459
5,,2019-04-18 23:04:52, 6.421 sec,5.0,21.22346241200891,10.699216960532382,450.43535675395503
6,,2019-04-18 23:04:52, 6.550 sec,6.0,19.503248559745447,10.086694690980048,380.3767043832129
7,,2019-04-18 23:04:52, 6.670 sec,7.0,18.604157464558128,9.629430071670654,346.1146749660739
