,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,XGBoost_3_AutoML_20190418_225633,19.99634151271239,4.471726904978924,19.99634151271239,2.8842140049577423,0.08012272488507287
3,DRF_1_AutoML_20190418_225633,192.0784094232832,13.859235528097615,192.0784094232832,7.566818654196617,0.10817377272152813
5,StackedEnsemble_BestOfFamily_AutoML_20190418_225633,596.8395581768423,24.430300001777354,596.8395581768423,17.884535260034855,
6,GBM_1_AutoML_20190418_225633,17892.374996569535,133.762382591555,17892.374996569535,101.03017058330471,1.3467907151426068
7,GLM_grid_1_AutoML_20190418_225633_model_1,29840.67187247981,172.74452776420966,29840.67187247981,135.17949723445489,1.5335198700650876
