,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,GBM_4_AutoML_20190426_144511,25.472440782434553,5.0470229623446885,25.472440782434553,3.1471879879515496,0.06700149544169175
1,GBM_1_AutoML_20190426_144511,28.175282488099327,5.3080394203603385,28.175282488099327,3.2987908286501337,
2,GBM_3_AutoML_20190426_144511,32.82094017610167,5.7289562902942155,32.82094017610167,3.4340078829334044,
3,GBM_5_AutoML_20190426_144511,34.16162709465046,5.8447948719052985,34.16162709465046,3.0958084496752853,0.06381127092852687
4,GBM_2_AutoML_20190426_144511,60.992697557431384,7.8097821709335395,60.992697557431384,4.690645254478944,
5,GBM_grid_1_AutoML_20190426_144511_model_1,8796.07352267419,93.78738466699127,8796.07352267419,66.09053981843101,
6,GBM_grid_1_AutoML_20190426_144511_model_2,32145.966496944548,179.29296276470123,32145.966496944548,140.7607526821948,1.5619987379955638
0,GBM_grid_1_AutoML_20190426_150852_model_1,10.684622737010027,3.2687341184333163,10.684622737010027,1.4897985662656847,0.020766397037823483
1,GBM_1_AutoML_20190426_150852,11.092651372668367,3.330563221539019,11.092651372668367,2.0805400420639453,0.04191266370307785
2,GBM_2_AutoML_20190426_150852,12.112414831255405,3.4802894752096987,12.112414831255405,2.063085237962007,0.034178848255764546
3,GBM_1_AutoML_20190426_153113,12.684979119288466,3.561597832334311,12.684979119288466,2.1840113960406007,0.04040984207073031
4,GBM_3_AutoML_20190426_150852,15.140321179237466,3.891056563356213,15.140321179237466,2.294084347061378,0.041256969981245686
5,GBM_2_AutoML_20190426_153113,18.23716742245617,4.270499668944628,18.23716742245617,2.7749361955024616,
6,GBM_3_AutoML_20190426_153113,23.449937611218033,4.842513563348897,23.449937611218033,2.8276510798204684,0.061825064944229235
7,GBM_4_AutoML_20190426_144511,25.472440782434553,5.0470229623446885,25.472440782434553,3.1471879879515496,0.06700149544169175
8,GBM_1_AutoML_20190426_144511,28.175282488099327,5.3080394203603385,28.175282488099327,3.2987908286501337,
9,GBM_5_AutoML_20190426_153113,28.67194415565996,5.354618955225475,28.67194415565996,2.4837275342093452,0.03733430135820073
10,GBM_3_AutoML_20190426_144511,32.82094017610167,5.7289562902942155,32.82094017610167,3.4340078829334044,
11,GBM_5_AutoML_20190426_144511,34.16162709465046,5.8447948719052985,34.16162709465046,3.0958084496752853,0.06381127092852687
12,GBM_5_AutoML_20190426_150852,37.545768711704,6.127460217064162,37.545768711704,3.1612455486696134,0.05501696961743858
13,GBM_4_AutoML_20190426_150852,44.68313611334022,6.684544570375773,44.68313611334022,3.9734808006186753,0.06843603796641788
14,GBM_2_AutoML_20190426_144511,60.992697557431384,7.8097821709335395,60.992697557431384,4.690645254478944,
15,GBM_4_AutoML_20190426_153113,68.80256887405628,8.294731392519969,68.80256887405628,4.885920316667728,
16,GBM_grid_1_AutoML_20190426_153113_model_1,124.4661680893774,11.156440655037672,124.4661680893774,7.428248229025334,
17,GBM_grid_1_AutoML_20190426_150852_model_3,184.71871207173092,13.591126225288725,184.71871207173092,8.478844401474108,
18,GBM_grid_1_AutoML_20190426_153113_model_4,442.641580303878,21.039048940098933,442.641580303878,10.951698561802127,
19,GBM_grid_1_AutoML_20190426_150852_model_5,524.2113359256824,22.895661945566946,524.2113359256824,14.730667391616144,
20,GBM_grid_1_AutoML_20190426_150852_model_6,1417.67086527144,37.65197027077654,1417.67086527144,29.047473133572144,0.801161823951807
21,GBM_grid_1_AutoML_20190426_144511_model_1,8796.07352267419,93.78738466699127,8796.07352267419,66.09053981843101,
22,GBM_grid_1_AutoML_20190426_150852_model_2,12717.231752255128,112.77070431745615,12717.231752255128,85.1321384092309,1.2596767649695186
23,GBM_grid_1_AutoML_20190426_153113_model_3,14663.538948984275,121.0931003359988,14663.538948984275,90.4151766558065,1.3001310525127223
24,GBM_grid_1_AutoML_20190426_153113_model_2,18928.679281333552,137.58153684754922,18928.679281333552,105.35122734804071,1.3753464017926975
25,GBM_grid_1_AutoML_20190426_150852_model_4,26768.995877786147,163.61233412486402,26768.995877786147,128.15990044462143,1.5001304024496032
26,GBM_grid_1_AutoML_20190426_153113_model_5,30958.93604453205,175.95151617571258,30958.93604453205,137.52450833507018,1.5454002189235436
27,GBM_grid_1_AutoML_20190426_144511_model_2,32145.966496944548,179.29296276470123,32145.966496944548,140.7607526821948,1.5619987379955638
