,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,XGBoost_1_AutoML_20190418_223521,20.732621386566613,4.553308839357003,20.732621386566613,2.9114501023036685,0.06904428435861942
4,StackedEnsemble_BestOfFamily_AutoML_20190418_223521,613.2011827692166,24.762899320742246,613.2011827692166,18.13497519713453,
5,DRF_1_AutoML_20190418_223521,763.1376421004627,27.624946010815343,763.1376421004627,14.042041005525238,0.22564087057142365
6,GLM_grid_1_AutoML_20190418_223521_model_1,32853.47347527894,181.25527157928107,32853.47347527894,142.2938073502823,1.569649365919261
