,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance
0,,2019-04-19 01:05:48,23.465 sec,0.0,,,
1,,2019-04-19 01:05:48,23.604 sec,1.0,16.986466083683993,8.762346843280264,288.54003001214664
2,,2019-04-19 01:05:48,23.712 sec,2.0,20.280846250861188,9.837245830766879,411.31272465107037
3,,2019-04-19 01:05:48,23.831 sec,3.0,17.61495923443304,8.964925709363232,310.2867888307379
4,,2019-04-19 01:05:48,23.950 sec,4.0,17.752138898713746,9.215908600873641,315.1384354792257
5,,2019-04-19 01:05:49,24.075 sec,5.0,16.682107723491278,8.807063814592226,278.29271809816737
6,,2019-04-19 01:05:49,24.182 sec,6.0,16.695369993856243,8.581254287875025,278.73537923175536
7,,2019-04-19 01:05:49,24.270 sec,7.0,15.325077956117665,8.098394405854087,234.85801436108358
8,,2019-04-19 01:05:49,24.372 sec,8.0,14.798312299078383,7.943579008903961,218.9900469010545
9,,2019-04-19 01:05:49,24.473 sec,9.0,13.80649563440877,7.501136179120302,190.61932170294847
10,,2019-04-19 01:05:49,24.575 sec,10.0,14.142399880055866,7.728935880854644,200.00747436740417
11,,2019-04-19 01:05:49,24.670 sec,11.0,13.963642511545727,7.629439737215764,194.98331219024703
12,,2019-04-19 01:05:49,24.770 sec,12.0,13.210692035851322,7.236933164136208,174.52238406610556
13,,2019-04-19 01:05:49,24.874 sec,13.0,12.956249094577373,7.199962440354987,167.864390600737
14,,2019-04-19 01:05:50,24.968 sec,14.0,12.260725949946115,6.949887831446496,150.32540081968207
15,,2019-04-19 01:05:50,25.067 sec,15.0,11.949008191305994,6.787329091908249,142.77879675589773
16,,2019-04-19 01:05:50,25.160 sec,16.0,11.731267635702755,6.680693972423452,137.62264034048692
17,,2019-04-19 01:05:50,25.255 sec,17.0,11.269357872831517,6.466366398864679,126.99842686594968
18,,2019-04-19 01:05:50,25.347 sec,18.0,10.977134998357108,6.304747670899778,120.49749277215652
19,,2019-04-19 01:05:50,25.453 sec,19.0,10.877743727171516,6.258060665787476,118.32530859401929
20,,2019-04-19 01:05:50,25.548 sec,20.0,10.633798218082202,6.122059267542485,113.0776645428882
21,,2019-04-19 01:05:50,25.643 sec,21.0,10.294205679798436,5.92789283612906,105.9706705779944
22,,2019-04-19 01:05:50,25.740 sec,22.0,10.040170663311908,5.766142089486555,100.80502694842909
23,,2019-04-19 01:05:50,25.864 sec,23.0,9.810303562725014,5.656616767075835,96.24205599281512
24,,2019-04-19 01:05:51,26.174 sec,24.0,9.730226622585741,5.6139702005560626,94.67731012687632
25,,2019-04-19 01:05:51,26.411 sec,25.0,9.532714040935026,5.49490062661287,90.87263698623981
26,,2019-04-19 01:05:51,26.637 sec,26.0,9.386250724212003,5.414784090361674,88.10170265777033
27,,2019-04-19 01:05:51,26.854 sec,27.0,9.27024022732512,5.338424753362758,85.93735387231689
28,,2019-04-19 01:05:52,27.110 sec,28.0,9.098778310461421,5.245110604157519,82.78776674292318
29,,2019-04-19 01:05:52,27.426 sec,29.0,8.999033565024764,5.189818358100124,80.9826051044423
30,,2019-04-19 01:05:54,29.624 sec,50.0,7.769144753600198,4.437788886169226,60.35961020239348
