,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance
0,,2019-04-19 01:09:05,25.442 sec,0.0,,,
1,,2019-04-19 01:09:06,25.558 sec,1.0,24.74366899131563,12.951294765525269,612.2491551517946
2,,2019-04-19 01:09:06,25.667 sec,2.0,23.99569969552549,12.710470765788944,575.7936038778421
3,,2019-04-19 01:09:06,25.781 sec,3.0,22.417024590071772,11.426029902706764,502.5229914718825
4,,2019-04-19 01:09:06,25.902 sec,4.0,22.020104018461886,10.922813349015463,484.88498098388135
5,,2019-04-19 01:09:06,26.019 sec,5.0,20.65427865142822,10.436538145769882,426.59922661084363
6,,2019-04-19 01:09:06,26.131 sec,6.0,19.090508955164957,9.886692025190728,364.4475321672334
7,,2019-04-19 01:09:06,26.249 sec,7.0,17.91944759131337,9.47050706419669,321.10660197782653
8,,2019-04-19 01:09:06,26.367 sec,8.0,17.420569839941592,9.292537360334032,303.47625354828267
9,,2019-04-19 01:09:06,26.480 sec,9.0,16.112719790733188,8.582945797544903,259.6197390546849
10,,2019-04-19 01:09:07,26.600 sec,10.0,15.326173116170015,8.166345703687645,234.8915823868125
11,,2019-04-19 01:09:07,26.726 sec,11.0,14.85670007434236,7.8689204504280275,220.72153709896426
12,,2019-04-19 01:09:07,26.851 sec,12.0,14.165829398465773,7.508391797877777,200.67072254643716
13,,2019-04-19 01:09:07,26.967 sec,13.0,13.441258630159792,7.191872338048794,180.66743356284508
14,,2019-04-19 01:09:07,27.084 sec,14.0,12.790384555304657,6.940924155797936,163.59393707257593
15,,2019-04-19 01:09:07,27.199 sec,15.0,12.200667668952935,6.671106839629257,148.85629156823344
16,,2019-04-19 01:09:07,27.317 sec,16.0,11.780946821434952,6.46945131901142,138.7907080094783
17,,2019-04-19 01:09:07,27.439 sec,17.0,11.286070007549494,6.270652147911971,127.37537621530822
18,,2019-04-19 01:09:08,27.551 sec,18.0,10.972653175554012,6.10363021947931,120.39911771099553
19,,2019-04-19 01:09:08,27.684 sec,19.0,10.917882944334833,6.074051423044461,119.20016798619746
20,,2019-04-19 01:09:08,27.808 sec,20.0,10.706316437835868,5.998644523768352,114.62521166707451
21,,2019-04-19 01:09:08,27.931 sec,21.0,10.403898594547274,5.858594638217262,108.24110596562275
22,,2019-04-19 01:09:08,28.049 sec,22.0,10.258040597728709,5.782125365284559,105.22739690465036
23,,2019-04-19 01:09:08,28.177 sec,23.0,10.045870578161606,5.679413409325234,100.91951567317301
24,,2019-04-19 01:09:08,28.299 sec,24.0,10.008454695352219,5.674575319105998,100.16916538891786
25,,2019-04-19 01:09:08,28.423 sec,25.0,9.987163397948034,5.667904924108151,99.74343273731292
26,,2019-04-19 01:09:09,28.552 sec,26.0,9.781573684175811,5.555195606657955,95.67918373896076
27,,2019-04-19 01:09:09,28.678 sec,27.0,9.606424439430826,5.461371590784553,92.28339051049386
28,,2019-04-19 01:09:09,28.796 sec,28.0,9.423345131882675,5.3532647010337815,88.79943347457692
29,,2019-04-19 01:09:09,28.916 sec,29.0,9.32523379484098,5.29114628264914,86.95998532844429
30,,2019-04-19 01:09:09,29.043 sec,30.0,9.271252158635836,5.276524052531018,85.95611658900965
31,,2019-04-19 01:09:09,29.165 sec,31.0,9.102725995231511,5.179099209873249,82.8596205442635
32,,2019-04-19 01:09:09,29.283 sec,32.0,8.938550284218998,5.075103474186497,79.89768118351152
33,,2019-04-19 01:09:09,29.411 sec,33.0,8.871948131195404,5.012791256969156,78.71146364262162
34,,2019-04-19 01:09:11,30.815 sec,45.0,8.033398850483026,4.486555036399557,64.53549709094202
