,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,DeepLearning_1_AutoML_20190419_004813,7.951520168144803,2.819843997129061,7.951520168144803,2.2306123864876146,
1,XGBoost_3_AutoML_20190419_004813,13.326676727961884,3.6505721096784094,13.326676727961884,2.338232494527571,0.057583199843711075
2,GBM_grid_1_AutoML_20190419_004813_model_2,14.940026787932014,3.8652330832605695,14.940026787932014,2.114443946568993,0.021938528299582517
10,GLM_grid_1_AutoML_20190419_004813_model_1,38.38704879033597,6.195728269568959,38.38704879033597,4.4519685847254165,
13,XRT_1_AutoML_20190419_004813,45.77857444164238,6.765986583022642,45.77857444164238,3.6938484279610058,0.08109411321836747
14,DRF_1_AutoML_20190419_004813,46.095487512594815,6.7893657665937255,46.095487512594815,3.7152921635519203,0.08163121853988263
15,StackedEnsemble_BestOfFamily_AutoML_20190419_004813,53.8878423728812,7.340833901736313,53.8878423728812,5.305090014136608,0.2958669822305609
