,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance
0,,2019-04-19 01:10:07,16.830 sec,0.0,181.38238043116908,142.3998489274107,32899.56793087735
1,,2019-04-19 01:10:07,17.007 sec,5.0,6.510756493689038,4.951146830005581,42.38995012011398
2,,2019-04-19 01:10:08,17.158 sec,10.0,2.4554226592133115,1.5520919839808633,6.02910043537817
3,,2019-04-19 01:10:08,17.273 sec,15.0,2.2571989808475723,1.4489680378900325,5.0949472391393185
4,,2019-04-19 01:10:08,17.421 sec,20.0,2.122491145762986,1.382649576954123,4.504968663842273
5,,2019-04-19 01:10:08,17.575 sec,25.0,1.9868604180080525,1.3122554527333803,3.9476143206471326
6,,2019-04-19 01:10:08,17.675 sec,30.0,1.897214288547628,1.2663904330084146,3.599422056669282
7,,2019-04-19 01:10:08,17.790 sec,35.0,1.7658248613473404,1.1912372409011258,3.1181374409523537
8,,2019-04-19 01:10:08,17.806 sec,36.0,1.7448367102997255,1.1795655759296344,3.0444551456095685
