,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,XGBoost_2_AutoML_20190418_222156,25.72000923926331,5.071489844144748,25.72000923926331,2.8932493818191056,0.062250211509986116
4,DRF_1_AutoML_20190418_222156,258.3067552445578,16.071924441228493,258.3067552445578,8.838644800601363,0.1274189131896216
5,StackedEnsemble_BestOfFamily_AutoML_20190418_222156,613.2989535498074,24.764873380451746,613.2989535498074,18.004587080969536,
6,GBM_1_AutoML_20190418_222156,25665.06580633853,160.20320161076225,25665.06580633853,124.59596319933874,1.4765496548197183
7,GLM_grid_1_AutoML_20190418_222156_model_1,32111.762176816967,179.1975506998267,32111.762176816967,140.57431691906066,1.5609643746929711
