,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance
0,,2019-04-18 22:03:55,24.173 sec,0.0,,,
1,,2019-04-18 22:03:55,24.309 sec,1.0,17.94924601632981,10.222319947796654,322.17543255473146
2,,2019-04-18 22:03:55,24.418 sec,2.0,22.186146984436974,11.194833593069795,492.22511801504174
3,,2019-04-18 22:03:55,24.550 sec,3.0,21.903153168297408,11.237279621118248,479.7481187138968
4,,2019-04-18 22:03:55,24.662 sec,4.0,21.070362625086805,11.112724136287875,443.9601811526549
5,,2019-04-18 22:03:56,24.790 sec,5.0,20.04318733411328,10.595518299632184,401.729358510359
6,,2019-04-18 22:03:56,24.898 sec,6.0,19.765316459234366,10.47735065446411,390.6677347336809
7,,2019-04-18 22:03:56,25.022 sec,7.0,17.70594229888738,9.59119525118723,313.5003926915293
8,,2019-04-18 22:03:56,25.134 sec,8.0,16.483158032317064,9.042655645348773,271.6944987183386
9,,2019-04-18 22:03:56,25.249 sec,9.0,16.264008622416707,8.821943135314626,264.51797647004497
10,,2019-04-18 22:03:56,25.366 sec,10.0,15.23026400905824,8.338438407836803,231.9609417856148
11,,2019-04-18 22:03:56,25.475 sec,11.0,14.623824916540316,8.042323186770327,213.85625518962541
12,,2019-04-18 22:03:56,25.604 sec,12.0,13.914315884099016,7.743251073607196,193.60818652249017
13,,2019-04-18 22:03:57,25.715 sec,13.0,13.423982795218835,7.451744516002855,180.2033140863313
14,,2019-04-18 22:03:57,25.830 sec,14.0,12.831186981240478,7.24300918928913,164.63935934755511
15,,2019-04-18 22:03:57,25.941 sec,15.0,12.31541207773676,6.9891104390675345,151.66937464446443
16,,2019-04-18 22:03:57,26.046 sec,16.0,11.810015261009076,6.720734950642403,139.47646046526728
17,,2019-04-18 22:03:57,26.162 sec,17.0,11.763483059666981,6.678255956790234,138.37953369507204
18,,2019-04-18 22:03:57,26.280 sec,18.0,11.626601174365515,6.64208132088503,135.1778548677576
19,,2019-04-18 22:03:57,26.386 sec,19.0,11.230224668092648,6.422004759768489,126.11794609583661
20,,2019-04-18 22:03:57,26.502 sec,20.0,10.936184298991101,6.276865406892998,119.60012702149947
21,,2019-04-18 22:03:57,26.617 sec,21.0,10.767465264808115,6.218461183244503,115.93830822884927
22,,2019-04-18 22:03:58,26.727 sec,22.0,10.603056744480226,6.1254893931015735,112.4248123266676
23,,2019-04-18 22:03:58,26.848 sec,23.0,10.518872196871548,6.083048260750063,110.64667229411727
24,,2019-04-18 22:03:58,26.964 sec,24.0,10.214993103923506,5.90746617773102,104.3460841132048
25,,2019-04-18 22:03:58,27.108 sec,25.0,9.99587200377418,5.79305472404053,99.91745711583641
26,,2019-04-18 22:03:58,27.204 sec,26.0,9.817726055625556,5.7001234135281935,96.38774490330894
27,,2019-04-18 22:03:58,27.310 sec,27.0,9.659427462708576,5.62339647738588,93.30453890732863
28,,2019-04-18 22:03:58,27.407 sec,28.0,9.448984536851569,5.522822216475811,89.28330877766007
29,,2019-04-18 22:03:58,27.503 sec,29.0,9.29795907400114,5.460080997763997,86.45204294180013
30,,2019-04-18 22:03:58,27.599 sec,30.0,9.130269068667067,5.352314159667848,83.3618132662586
31,,2019-04-18 22:03:59,27.699 sec,31.0,8.942100375791165,5.242596580958258,79.96115913072451
32,,2019-04-18 22:03:59,27.797 sec,32.0,8.850359570996803,5.175094204597283,78.3288645359347
33,,2019-04-18 22:03:59,27.888 sec,33.0,8.721297245820155,5.094835517647995,76.06102564995024
34,,2019-04-18 22:03:59,27.987 sec,34.0,8.650931167100186,5.050226534523945,74.83861005790538
35,,2019-04-18 22:03:59,28.088 sec,35.0,8.562717587448851,4.979638268005255,73.32013248240587
36,,2019-04-18 22:04:00,29.573 sec,50.0,7.629647638808855,4.4036317942094305,58.21152309238154
