,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance
0,,2019-04-19 01:36:32,22.359 sec,0.0,,,
1,,2019-04-19 01:36:33,22.478 sec,1.0,20.16597888069861,10.12303184416458,406.6667042167824
2,,2019-04-19 01:36:33,22.582 sec,2.0,21.647029873205028,10.766455709037405,468.59390233143097
3,,2019-04-19 01:36:33,22.687 sec,3.0,19.114531228741285,9.54954556039401,365.36530409452575
4,,2019-04-19 01:36:33,22.800 sec,4.0,18.919201708299013,9.750150868482798,357.93619327930435
5,,2019-04-19 01:36:33,22.904 sec,5.0,17.55908689672278,8.99813307930067,308.3215326466616
6,,2019-04-19 01:36:33,23.007 sec,6.0,16.949402825323006,8.937404759514896,287.2822561350674
7,,2019-04-19 01:36:33,23.115 sec,7.0,15.985560601579108,8.614800259658516,255.5381477467582
8,,2019-04-19 01:36:33,23.220 sec,8.0,14.817967866420869,8.100143775853878,219.57217169028144
9,,2019-04-19 01:36:33,23.320 sec,9.0,13.574087356210754,7.51399931702234,184.25584755404066
10,,2019-04-19 01:36:34,23.422 sec,10.0,13.071948652919849,7.3040704771516145,170.87584158457304
11,,2019-04-19 01:36:34,23.524 sec,11.0,12.498381068736592,7.020831360526379,156.20952933935322
12,,2019-04-19 01:36:34,23.622 sec,12.0,11.930896597102231,6.719238564392014,142.34629361074562
13,,2019-04-19 01:36:34,23.725 sec,13.0,11.392062970880264,6.479172388801858,129.77909873250127
14,,2019-04-19 01:36:34,23.828 sec,14.0,11.134708454222274,6.318147806298289,123.98173236052898
15,,2019-04-19 01:36:34,23.934 sec,15.0,10.903388637332986,6.199951565501771,118.88388377672207
16,,2019-04-19 01:36:34,24.041 sec,16.0,10.398222776662305,5.94842383670373,108.12303691309872
17,,2019-04-19 01:36:34,24.148 sec,17.0,10.181211745623653,5.789683175228654,103.65707260922503
18,,2019-04-19 01:36:34,24.259 sec,18.0,9.908351859311159,5.671005370994813,98.17543656791491
19,,2019-04-19 01:36:35,24.384 sec,19.0,9.776348408831902,5.597596555516953,95.57698821087007
20,,2019-04-19 01:36:35,24.495 sec,20.0,9.594532860133896,5.497958357163739,92.0550608041891
21,,2019-04-19 01:36:35,24.606 sec,21.0,9.674493108583905,5.559340210770461,93.59581690803745
22,,2019-04-19 01:36:35,24.708 sec,22.0,9.438509739205722,5.409233868014999,89.08546609708127
23,,2019-04-19 01:36:35,24.813 sec,23.0,9.238934615408251,5.309117982243404,85.35791282778882
24,,2019-04-19 01:36:35,24.928 sec,24.0,9.126310005710183,5.2537384319956555,83.2895343203258
25,,2019-04-19 01:36:35,25.068 sec,25.0,8.950822454091714,5.146956895772367,80.11722260467242
26,,2019-04-19 01:36:35,25.177 sec,26.0,8.91294565662239,5.102685161414468,79.44060027790394
27,,2019-04-19 01:36:35,25.294 sec,27.0,8.71075302398873,5.011704543263331,75.87721824492878
28,,2019-04-19 01:36:36,25.407 sec,28.0,8.600544582787116,4.938239086306774,73.96936712050879
29,,2019-04-19 01:36:36,25.530 sec,29.0,8.487194779785092,4.894990295762035,72.03247523001131
30,,2019-04-19 01:36:36,25.632 sec,30.0,8.373793184622643,4.817530926940062,70.12041229883262
31,,2019-04-19 01:36:36,25.736 sec,31.0,8.399617334167294,4.823677586204764,70.55357136044367
32,,2019-04-19 01:36:36,25.841 sec,32.0,8.288801429776951,4.780102549653639,68.70422914227242
33,,2019-04-19 01:36:36,25.943 sec,33.0,8.224187524226608,4.7255086784547995,67.63726043364458
34,,2019-04-19 01:36:36,26.051 sec,34.0,8.320505514834718,4.774251650755746,69.23081202239496
35,,2019-04-19 01:36:36,26.162 sec,35.0,8.345830133305281,4.800122856192355,69.65288061398644
36,,2019-04-19 01:36:36,26.282 sec,36.0,8.251241726252163,4.758806445115374,68.08299002504478
37,,2019-04-19 01:36:37,27.231 sec,44.0,7.666251096383472,4.396744004976264,58.77140587280078
