,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,DeepLearning_1_AutoML_20190419_011529,9.182908978602343,3.0303314964871984,9.182908978602343,1.9919124930835843,0.12246552786798375
1,GBM_grid_1_AutoML_20190419_011529_model_5,13.172194658795135,3.6293518235072137,13.172194658795135,2.2291351658007468,0.13660016783766346
3,XGBoost_grid_1_AutoML_20190419_011529_model_1,16.936284534174213,4.11537173705781,16.936284534174213,2.439536252400565,
12,GLM_grid_1_AutoML_20190419_011529_model_1,38.38704879033597,6.195728269568959,38.38704879033597,4.4519685847254165,
13,XRT_1_AutoML_20190419_011529,44.29738345386031,6.6556279533835365,44.29738345386031,3.65005973417245,0.07522391060418503
14,DRF_1_AutoML_20190419_011529,47.046111343182346,6.8590167912888464,47.046111343182346,3.775739420008911,0.0825930667684801
15,StackedEnsemble_BestOfFamily_AutoML_20190419_011529,54.51011841114306,7.3830968035874385,54.51011841114306,5.315295040809778,0.29608336917524186
