,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,GBM_2_AutoML_20190418_231402,10.911808474620656,3.3033026616737162,10.911808474620656,1.963185806733388,0.0368210585046866
1,DeepLearning_1_AutoML_20190418_231402,13.284591496212967,3.6448033549442647,13.284591496212967,2.5959074212614266,
2,XGBoost_3_AutoML_20190418_231402,18.04153255585779,4.2475325255797385,18.04153255585779,2.759228962763756,0.0696422804882967
8,GLM_grid_1_AutoML_20190418_231402_model_1,38.38704879033597,6.195728269568959,38.38704879033597,4.4519685847254165,
9,XRT_1_AutoML_20190418_231402,46.394325371795404,6.811338001582023,46.394325371795404,3.7138823828468657,0.07512741661732864
11,DRF_1_AutoML_20190418_231402,46.929302053845404,6.850496482288376,46.929302053845404,3.6895612851682635,0.07682161185345919
12,StackedEnsemble_BestOfFamily_AutoML_20190418_231402,55.17981108327147,7.4283114557260905,55.17981108327147,5.340441964582876,0.29849597275074297
